Recipient,Token Allocated
4975,30821.64
6007,16984.81
6580,16065.1
2740,31491.54
6774,16466.76
6155,15417.91
1390,16629.99
4956,17274.34
2147,17666.06
2716,17392.14
6103,17785.28
6347,17739.86
3399,17756.9
4953,17771.09
5838,17680.26
4117,17370.85
1299,17898.82
4360,17756.9
1774,17399.24
5267,17280.02
5304,17609.29
2226,17399.24
3151,17785.28
3357,17399.24
1795,17370.85
3670,17399.24
6599,17579.48
4014,17785.28
3139,17666.06
1077,35246.98
4019,15389.53
4422,16886.88
4434,16121.88
8533,17101.18
3373,31159.43
4814,31159.43
1635,16637.08
1361,15696.09
5950,32910.83
5093,35269.69
4506,15403.72
993,15219.21
2813,35261.17
5961,35232.79
4516,30977.76
3681,35275.37
2808,15073.03
4984,16810.23
7546,16573.21
1599,16248.2
5181,30983.44
6295,31627.79
3550,34920.54
3055,30977.76
6172,33041.41
1226,30446.95
3622,15999.82
5543,30594.55
5178,15903.31
3982,14864.39
6413,15224.89
5908,15741.51
5910,15741.51
5438,16316.32
1006,14232.8
5233,16473.86
5238,16473.86
4963,16984.81
2401,15561.26
5586,16215.55
2455,16303.54
5216,31426.25
1457,33580.74
3330,30855.7
2348,16716.56
1746,16392.96
4323,16279.42
2902,15958.66
4112,17350.98
5741,15036.12
5377,15625.13
2089,17341.05
5711,16991.9
6187,15372.5
1442,17771.09
3678,18096.11
1523,17504.27
5835,15564.1
1827,15840.86
6119,16126.13
1384,15410.81
4266,16181.49
3962,16766.23
5107,17798.06
5108,17798.06
2087,18071.98
4451,18049.27
5719,17805.16
3261,18409.77
2506,18416.87
2817,18133.01
2929,18111.72
6394,18509.12
4991,17742.71
6519,15240.5
5086,16421.35
5087,16421.35
2414,16035.3
6704,16224.07
1546,30495.2
2666,16178.65
1847,16760.56
1750,16659.79
1961,42292.16
6730,15403.72
6788,16851.39
5768,31477.35
1512,17369.43
4330,18049.27
5141,17769.67
2316,18423.96
8539,17958.44
5455,18507.7
1644,18509.12
5508,15300.11
2559,17177.83
1672,16682.5
3085,16716.56
6540,17316.92
6001,17156.54
2637,15389.53
2638,15389.53
1445,34514.63
3573,33745.37
5696,33722.66
1381,31483.03
4349,15439.2
1173,35854.44
1605,35868.63
1625,35868.63
2078,35826.05
3512,35854.44
2961,35868.63
4954,30574.68
4720,36095.71
2284,35655.74
2435,35882.82
5043,35641.54
5962,35868.63
1744,35598.96
1549,17820.77
4684,17842.05
1058,17751.22
4111,17729.93
1375,35868.63
2278,35911.21
3252,35911.21
5658,15866.41
5403,17617.81
1393,33518.29
4747,34738.87
6719,15662.03
1152,15153.92
4993,15361.14
3810,17024.54
4979,17024.54
6107,35516.65
2585,17529.81
2586,17529.81
3721,17536.91
3063,18472.22
2237,18531.83
1875,17837.8
3454,33367.84
3208,32734.84
5761,31676.05
2909,33308.23
4468,15214.95
3632,15361.14
4555,15632.22
3060,16039.56
4883,16053.75
4819,32093.32
3001,15751.44
4218,17038.74
3609,16908.17
6351,16496.57
1193,17034.48
6120,16303.54
1563,16859.91
4371,16865.59
2554,16784.69
5200,17132.41
1915,17394.98
8674,16987.64
5292,16699.53
3876,16993.32
5632,36711.69
3551,34290.38
3808,37165.86
1890,37478.1
4603,31250.26
3642,28641.61
6811,29808.27
6454,17369.43
5005,17150.86
4994,16749.2
3862,17886.06
5477,32391.37
5479,16195.68
3195,16229.74
1144,34270.51
2116,15876.34
3225,15139.73
4076,30336.24
5095,29700.4
4949,30151.73
2701,31332.58
3216,16920.93
4445,17460.27
5263,15801.12
2953,15618.03
3436,32380.02
5328,33362.16
5015,18739.04
4388,37384.43
5275,37384.43
5121,18739.04
3019,36470.41
6260,34798.48
3638,16036.72
1446,16645.6
5126,17651.87
970,17714.32
5381,17742.71
5396,17742.71
5398,17742.71
5766,17339.63
2289,16827.26
